label,year1958,year1959,year1960,year1961,year1962,year1963,year1964,year1965,year1966,year1967,year1968,year1969,year1970,year1971,year1972,year1973,year1974,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1985,year1986,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,northing,easting
"112500,847500",1,4,0,7,4,0,3,2,2,8,0,0,3,0,1,3,6,2,2,1,1,4,4,7,5,3,4,5,7,2,6,9,8,1,9,4,6,5,7,3,9,8,7,2,3,9,8,8,6,5,6,6,0,8,1,5,9,9,7,847500,112500
"117500,847500",1,4,0,7,4,0,3,2,2,8,0,1,3,0,2,4,6,2,1,1,0,3,3,6,5,3,3,5,7,2,6,8,9,1,9,5,7,5,7,4,9,8,7,2,4,9,8,8,6,4,6,6,0,8,1,5,9,9,7,847500,117500
"122500,847500",0,4,0,7,4,0,4,2,2,9,0,1,3,0,1,3,6,2,1,1,1,3,3,6,5,2,4,5,7,2,6,8,9,3,9,4,7,5,6,5,9,8,7,2,3,8,8,8,7,4,6,5,0,8,1,6,9,9,7,847500,122500
"127500,847500",0,4,0,7,5,0,4,2,3,8,0,1,3,0,1,3,5,1,1,1,1,2,3,6,5,2,4,4,7,2,6,8,9,5,9,3,7,5,4,6,9,9,7,2,3,7,8,8,7,4,6,6,0,8,2,6,9,9,8,847500,127500
"132500,847500",0,4,0,7,6,0,5,3,4,9,0,1,3,0,2,2,5,1,1,1,1,2,2,5,4,1,4,4,7,2,6,8,9,6,9,3,7,5,4,6,9,9,8,2,3,3,8,8,7,5,6,7,0,8,3,6,8,9,7,847500,132500
"137500,847500",0,3,0,8,6,0,5,2,4,9,0,1,3,1,2,4,5,1,1,1,0,3,4,6,5,2,4,4,7,1,7,8,9,5,9,3,6,4,3,6,9,9,7,2,2,2,8,8,7,6,6,7,0,8,3,5,8,9,7,847500,137500
"142500,847500",0,2,0,7,5,0,4,2,3,9,0,1,3,2,2,4,6,1,1,1,0,4,6,7,7,6,4,5,8,1,7,9,9,4,9,2,5,3,3,4,8,9,6,1,2,3,8,8,7,7,5,6,0,8,3,5,8,9,6,847500,142500
"147500,847500",0,3,0,7,3,0,4,2,3,8,0,0,3,1,1,4,7,2,1,1,1,5,4,5,7,5,3,5,8,1,7,9,9,5,9,2,6,4,2,4,8,9,6,2,2,3,9,8,7,7,6,6,0,8,4,6,8,9,6,847500,147500
"117500,842500",1,4,0,7,3,0,3,2,2,8,0,0,3,0,1,4,6,2,1,1,1,4,3,6,6,3,4,5,7,2,6,9,9,2,9,4,6,5,7,4,9,8,7,2,3,8,8,8,7,5,5,6,0,8,1,5,9,9,7,842500,117500
"122500,842500",1,3,0,7,3,0,4,2,2,8,0,0,3,0,1,4,6,2,1,1,1,3,3,6,6,3,4,5,8,2,6,8,9,2,9,4,7,5,6,5,9,8,7,2,4,7,9,8,7,4,5,6,0,8,1,5,9,9,7,842500,122500
"127500,842500",0,3,0,7,4,0,4,1,2,8,0,1,3,0,1,3,6,2,1,1,1,3,3,6,6,4,4,5,8,2,7,8,9,5,9,2,7,4,5,5,9,9,7,2,4,3,8,8,7,5,6,6,0,8,2,6,9,9,7,842500,127500
"132500,842500",0,3,0,7,4,0,5,1,3,9,0,1,3,0,1,4,6,2,1,1,1,3,3,6,7,4,4,5,7,2,6,8,9,5,9,2,6,4,5,4,9,9,7,2,3,2,8,8,8,5,6,7,0,8,2,6,8,9,7,842500,132500
"137500,842500",0,3,0,7,4,0,5,2,3,9,0,1,3,1,1,3,7,2,1,1,0,3,4,6,7,4,4,5,7,2,6,8,9,5,9,2,6,4,5,4,9,9,6,2,3,1,8,8,8,6,6,7,0,8,2,5,8,9,7,842500,137500
"142500,842500",0,3,0,7,3,0,4,2,3,9,0,0,3,1,1,4,7,2,1,1,1,5,3,5,6,5,3,5,8,2,6,8,9,5,9,2,6,4,4,4,8,9,6,1,2,2,9,8,7,7,6,7,0,8,4,6,8,9,7,842500,142500
"147500,842500",0,2,0,7,3,0,4,1,3,8,0,0,3,1,1,4,8,2,1,2,1,5,3,5,7,5,4,5,7,2,6,8,9,4,9,1,6,4,3,4,8,9,6,2,2,3,9,8,7,7,6,7,0,8,5,6,9,9,6,842500,147500
